disease_id,drug_id,disease,medical_condition,drug_name,rating,pregnancy_category,side_effect
1,1,Acne,"Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). ",Retapamulin,8.3,Permitted to be taken by pregnant women,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Wipe the ointment off your skin and call your doctor at once if you have: severe burning, itching, redness, swelling, blistering, oozing, or other skin irritation where the medicine was applied; or new or worsening signs of skin infection . Common side effects of retapamulin topical may include: mild itching or skin irritation; or headache ."
1,2,Acne,"Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). ",Cephalexin,8.4,Permitted to be taken by pregnant women,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common cephalexin side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge."
1,3,Acne,"Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). ",Seysara,8.7,Not permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; a spinning sensation; or increased pressure inside the skull - severe headaches, ringing in your ears, vision problems, pain behind your eyes. Common Seysara side effects may include nausea ."
1,4,Acne,"Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). ",Sarecycline,8.9,Not permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Sarecycline may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; a spinning sensation; or increased pressure inside the skull--severe headaches, ringing in your ears, vision problems, pain behind your eyes. Common side effects may include nausea ."
1,5,Acne,"Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). ",Clindagel,10,Permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindagel may cause serious side effects. Stop using Clindagel and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of Clindagel may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin."
2,6,Asthma,"Asthma Other names: Bronchial Asthma; Exercise-induced asthma; Wheezing Asthma is an inflammatory disorder of the airways, characterized by periodic attacks of wheezing, shortness of breath, chest tightness, and coughing.",Ipratropium,7.8,Permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may need to use a different bronchodilator medication if you have an allergic reaction to ipratropium inhalation. Ipratropium inhalation may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; little or no urination; blurred vision, tunnel vision, eye pain , or seeing halos around lights; or worsened breathing problems. Common side effects of ipratropium inhalation may include: cold symptoms such as stuffy nose, sneezing, sore throat ; cough with mucus, chest tightness, trouble breathing; or tiredness, or headache ."
2,7,Asthma,"Asthma Other names: Bronchial Asthma; Exercise-induced asthma; Wheezing Asthma is an inflammatory disorder of the airways, characterized by periodic attacks of wheezing, shortness of breath, chest tightness, and coughing.",Cinqair,8.6,Not permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or shortly after the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, short of breath, or if you have swelling in your face. Common Cinqair side effects may include: sore throat ; or muscle pain."
2,8,Asthma,"Asthma Other names: Bronchial Asthma; Exercise-induced asthma; Wheezing Asthma is an inflammatory disorder of the airways, characterized by periodic attacks of wheezing, shortness of breath, chest tightness, and coughing.",Reslizumab,8.6,Not permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or shortly after the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, short of breath, or if you have swelling in your face. Common side effects of reslizumab may include: sore throat ; or muscle pain."
2,9,Asthma,"Asthma Other names: Bronchial Asthma; Exercise-induced asthma; Wheezing Asthma is an inflammatory disorder of the airways, characterized by periodic attacks of wheezing, shortness of breath, chest tightness, and coughing.",Atrovent,9,Permitted to be taken by pregnant women,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Bladder pain bloody or cloudy urine cough producing mucus difficult, burning, or painful urination difficulty with breathing frequent urge to urinate lower back or side pain shortness of breath tightness in the chest wheezing Less common Body aches or pain chills cough ear congestion fever headache loss of voice runny nose sneezing sore throat unusual tiredness or weakness Rare Constipation (continuing) or lower abdominal pain or bloating fainting fast, pounding, or irregular heartbeat or pulse severe eye pain skin rash or hives swelling of the face, lips, or eyelids Incidence not known Blindness blurred vision confusion decrease in the frequency of urination decrease in the urine volume decreased vision difficulty in passing urine (dribbling) difficulty with swallowing dizziness dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position hives or welts itching large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs nausea or vomiting noisy breathing puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue redness of the skin redness of the white part of the eyes or inside of the eyelids sweating tearing Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Back pain dryness of the mouth unpleasant taste Less common or rare Acid or sour stomach belching burning eyes diarrhea general feeling of discomfort or illness heartburn indigestion joint pain loss of appetite muscle aches and pains nervousness pain or tenderness around the eyes and cheekbones shivering stomach discomfort, upset, or pain trembling trouble sleeping Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Atrovent side effects"
2,10,Asthma,"Asthma Other names: Bronchial Asthma; Exercise-induced asthma; Wheezing Asthma is an inflammatory disorder of the airways, characterized by periodic attacks of wheezing, shortness of breath, chest tightness, and coughing.",Atrovent HFA,9.5,Permitted to be taken by pregnant women,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may need to use a different bronchodilator medication if you have an allergic reaction to ipratropium. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; little or no urination; blurred vision, tunnel vision, eye pain , or seeing halos around lights; or worsened breathing problems. Common Atrovent HFA side effects may include: dry mouth; bitter taste; headache , dizziness, or tiredness; cold symptoms such as stuffy nose, sneezing, sore throat; cough with mucus, chest tightness, trouble breathing; nausea, upset stomach, constipation back pain; or fever, chills, body aches, flu symptoms"
